column_name,data_type,is_key,business_description
addr_stat_raw,DATETIME,NONE,status flag indicating current operational state
cust_uuid_raw,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
txn_code_sys,VARCHAR(255),NONE,temporal marker for transaction lifecycle
supp_ref_sys,UUID,NONE,descriptive string for human-readable indexing
addr_uuid_raw,INTEGER,NONE,temporal marker for transaction lifecycle
user_code_01,DATETIME,NONE,temporal marker for transaction lifecycle
cust_uuid_01,VARCHAR(255),NONE,unique identifier for the primary record
inv_uuid_v2,VARCHAR(255),NONE,descriptive string for human-readable indexing
cust_stat_01,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
user_ref_raw,VARCHAR(255),NONE,temporal marker for transaction lifecycle
user_qty_raw,DATETIME,NONE,descriptive string for human-readable indexing
supp_stat_sys,VARCHAR(255),NONE,categorical label for domain classification
dept_cat_fk,UUID,FOREIGN,secondary reference index for cross-table lookup
supp_cat_sys,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
cust_code_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
emp_amt_v2,INTEGER,NONE,unique identifier for the primary record
user_code_01,UUID,NONE,categorical label for domain classification
order_code_v2,UUID,NONE,categorical label for domain classification
cust_ref_norm,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
inv_desc_norm,UUID,NONE,normalized quantitative value for aggregate reporting
user_name_raw,INTEGER,NONE,descriptive string for human-readable indexing
dept_amt_v2,VARCHAR(255),NONE,descriptive string for human-readable indexing
emp_name_sys,DATETIME,NONE,unique identifier for the primary record
txn_amt_sys,INTEGER,NONE,status flag indicating current operational state
addr_stat_sys,INTEGER,NONE,status flag indicating current operational state
sale_cat_fk,VARCHAR(255),FOREIGN,categorical label for domain classification
prod_stat_01,INTEGER,NONE,status flag indicating current operational state
inv_desc_sys,INTEGER,NONE,unique identifier for the primary record
inv_id_raw,INTEGER,NONE,status flag indicating current operational state
supp_name_raw,"DECIMAL(10,2)",NONE,status flag indicating current operational state
user_uuid_01,INTEGER,NONE,descriptive string for human-readable indexing
emp_stat_norm,DATETIME,NONE,status flag indicating current operational state
txn_amt_raw,INTEGER,NONE,descriptive string for human-readable indexing
inv_id_raw,VARCHAR(255),NONE,descriptive string for human-readable indexing
user_id_pk,"DECIMAL(10,2)",PRIMARY,secondary reference index for cross-table lookup
emp_stat_fk,"DECIMAL(10,2)",FOREIGN,unique identifier for the primary record
user_cat_v2,DATETIME,NONE,secondary reference index for cross-table lookup
txn_stat_norm,UUID,NONE,status flag indicating current operational state
txn_stat_raw,UUID,NONE,normalized quantitative value for aggregate reporting
sale_qty_pk,DATETIME,PRIMARY,foreign key mapping to parent entity relational graph
emp_amt_pk,DATETIME,PRIMARY,foreign key mapping to parent entity relational graph
inv_code_pk,UUID,PRIMARY,secondary reference index for cross-table lookup
addr_code_pk,"DECIMAL(10,2)",PRIMARY,categorical label for domain classification
user_name_norm,UUID,NONE,normalized quantitative value for aggregate reporting
cust_uuid_sys,UUID,NONE,temporal marker for transaction lifecycle
cust_qty_norm,INTEGER,NONE,descriptive string for human-readable indexing
sale_dt_01,UUID,NONE,status flag indicating current operational state
user_qty_v2,INTEGER,NONE,unique identifier for the primary record
txn_name_01,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
dept_dt_sys,UUID,NONE,status flag indicating current operational state
sale_ref_sys,INTEGER,NONE,secondary reference index for cross-table lookup
supp_stat_norm,DATETIME,NONE,status flag indicating current operational state
txn_code_pk,INTEGER,PRIMARY,categorical label for domain classification
order_ref_pk,INTEGER,PRIMARY,normalized quantitative value for aggregate reporting
supp_dt_v2,INTEGER,NONE,foreign key mapping to parent entity relational graph
prod_uuid_fk,"DECIMAL(10,2)",FOREIGN,secondary reference index for cross-table lookup
sale_id_pk,"DECIMAL(10,2)",PRIMARY,unique identifier for the primary record
order_amt_sys,VARCHAR(255),NONE,temporal marker for transaction lifecycle
supp_uuid_v2,INTEGER,NONE,status flag indicating current operational state
emp_uuid_01,VARCHAR(255),NONE,unique identifier for the primary record
txn_name_v2,INTEGER,NONE,temporal marker for transaction lifecycle
user_ref_fk,"DECIMAL(10,2)",FOREIGN,descriptive string for human-readable indexing
prod_stat_fk,UUID,FOREIGN,temporal marker for transaction lifecycle
emp_id_norm,DATETIME,NONE,status flag indicating current operational state
txn_desc_norm,INTEGER,NONE,temporal marker for transaction lifecycle
order_dt_pk,DATETIME,PRIMARY,temporal marker for transaction lifecycle
emp_code_norm,INTEGER,NONE,secondary reference index for cross-table lookup
user_stat_norm,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
inv_stat_01,DATETIME,NONE,temporal marker for transaction lifecycle
supp_desc_v2,UUID,NONE,secondary reference index for cross-table lookup
supp_cat_v2,UUID,NONE,status flag indicating current operational state
inv_name_v2,DATETIME,NONE,temporal marker for transaction lifecycle
dept_cat_pk,INTEGER,PRIMARY,categorical label for domain classification
supp_desc_fk,DATETIME,FOREIGN,unique identifier for the primary record
order_ref_sys,"DECIMAL(10,2)",NONE,status flag indicating current operational state
dept_id_sys,INTEGER,NONE,temporal marker for transaction lifecycle
user_qty_v2,UUID,NONE,secondary reference index for cross-table lookup
cust_uuid_fk,UUID,FOREIGN,foreign key mapping to parent entity relational graph
addr_dt_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
supp_cat_01,DATETIME,NONE,normalized quantitative value for aggregate reporting
user_qty_raw,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
inv_name_norm,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
emp_code_pk,VARCHAR(255),PRIMARY,status flag indicating current operational state
user_code_v2,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
txn_uuid_01,UUID,NONE,status flag indicating current operational state
emp_name_01,INTEGER,NONE,temporal marker for transaction lifecycle
cust_code_v2,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
supp_ref_pk,DATETIME,PRIMARY,normalized quantitative value for aggregate reporting
prod_cat_raw,DATETIME,NONE,descriptive string for human-readable indexing
emp_stat_01,INTEGER,NONE,secondary reference index for cross-table lookup
cust_dt_fk,DATETIME,FOREIGN,foreign key mapping to parent entity relational graph
sale_amt_fk,"DECIMAL(10,2)",FOREIGN,normalized quantitative value for aggregate reporting
sale_ref_pk,INTEGER,PRIMARY,categorical label for domain classification
dept_ref_v2,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
prod_id_fk,VARCHAR(255),FOREIGN,status flag indicating current operational state
user_dt_v2,INTEGER,NONE,secondary reference index for cross-table lookup
addr_cat_norm,"DECIMAL(10,2)",NONE,unique identifier for the primary record
cust_cat_sys,DATETIME,NONE,descriptive string for human-readable indexing
cust_cat_sys,"DECIMAL(10,2)",NONE,status flag indicating current operational state
dept_stat_01,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
order_dt_fk,INTEGER,FOREIGN,temporal marker for transaction lifecycle
addr_uuid_fk,INTEGER,FOREIGN,status flag indicating current operational state
txn_amt_sys,DATETIME,NONE,temporal marker for transaction lifecycle
inv_ref_norm,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
order_id_v2,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
addr_ref_01,UUID,NONE,normalized quantitative value for aggregate reporting
inv_ref_fk,UUID,FOREIGN,categorical label for domain classification
order_code_raw,DATETIME,NONE,status flag indicating current operational state
order_desc_norm,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
order_stat_fk,VARCHAR(255),FOREIGN,descriptive string for human-readable indexing
cust_desc_raw,UUID,NONE,categorical label for domain classification
sale_ref_fk,DATETIME,FOREIGN,unique identifier for the primary record
user_cat_norm,UUID,NONE,status flag indicating current operational state
cust_stat_fk,"DECIMAL(10,2)",FOREIGN,unique identifier for the primary record
supp_cat_fk,VARCHAR(255),FOREIGN,unique identifier for the primary record
user_dt_sys,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
dept_code_pk,INTEGER,PRIMARY,temporal marker for transaction lifecycle
txn_ref_raw,DATETIME,NONE,secondary reference index for cross-table lookup
txn_stat_sys,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
addr_uuid_v2,INTEGER,NONE,unique identifier for the primary record
dept_amt_raw,"DECIMAL(10,2)",NONE,unique identifier for the primary record
supp_code_norm,"DECIMAL(10,2)",NONE,categorical label for domain classification
addr_cat_pk,DATETIME,PRIMARY,status flag indicating current operational state
addr_dt_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
addr_uuid_01,INTEGER,NONE,normalized quantitative value for aggregate reporting
dept_name_fk,DATETIME,FOREIGN,status flag indicating current operational state
addr_code_sys,DATETIME,NONE,categorical label for domain classification
txn_dt_v2,INTEGER,NONE,normalized quantitative value for aggregate reporting
dept_name_sys,VARCHAR(255),NONE,secondary reference index for cross-table lookup
emp_stat_norm,DATETIME,NONE,descriptive string for human-readable indexing
inv_ref_raw,"DECIMAL(10,2)",NONE,unique identifier for the primary record
inv_cat_01,VARCHAR(255),NONE,unique identifier for the primary record
cust_stat_v2,VARCHAR(255),NONE,temporal marker for transaction lifecycle
inv_qty_fk,"DECIMAL(10,2)",FOREIGN,temporal marker for transaction lifecycle
user_amt_sys,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
txn_uuid_v2,INTEGER,NONE,temporal marker for transaction lifecycle
sale_cat_fk,DATETIME,FOREIGN,normalized quantitative value for aggregate reporting
emp_amt_01,INTEGER,NONE,foreign key mapping to parent entity relational graph
inv_qty_fk,UUID,FOREIGN,descriptive string for human-readable indexing
emp_name_01,DATETIME,NONE,secondary reference index for cross-table lookup
order_name_01,VARCHAR(255),NONE,categorical label for domain classification
supp_stat_fk,VARCHAR(255),FOREIGN,categorical label for domain classification
cust_stat_01,UUID,NONE,unique identifier for the primary record
supp_code_raw,INTEGER,NONE,foreign key mapping to parent entity relational graph
inv_cat_raw,VARCHAR(255),NONE,descriptive string for human-readable indexing
prod_amt_pk,"DECIMAL(10,2)",PRIMARY,normalized quantitative value for aggregate reporting
user_desc_raw,DATETIME,NONE,normalized quantitative value for aggregate reporting
dept_id_pk,"DECIMAL(10,2)",PRIMARY,descriptive string for human-readable indexing
emp_amt_v2,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
order_id_01,UUID,NONE,secondary reference index for cross-table lookup
order_code_raw,UUID,NONE,foreign key mapping to parent entity relational graph
cust_cat_fk,VARCHAR(255),FOREIGN,unique identifier for the primary record
addr_dt_sys,DATETIME,NONE,foreign key mapping to parent entity relational graph
sale_amt_sys,INTEGER,NONE,status flag indicating current operational state
prod_name_sys,INTEGER,NONE,foreign key mapping to parent entity relational graph
order_uuid_raw,VARCHAR(255),NONE,status flag indicating current operational state
order_qty_pk,DATETIME,PRIMARY,temporal marker for transaction lifecycle
order_cat_v2,"DECIMAL(10,2)",NONE,secondary reference index for cross-table lookup
user_uuid_pk,INTEGER,PRIMARY,temporal marker for transaction lifecycle
emp_stat_sys,UUID,NONE,status flag indicating current operational state
dept_cat_01,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
dept_uuid_pk,"DECIMAL(10,2)",PRIMARY,foreign key mapping to parent entity relational graph
addr_amt_v2,INTEGER,NONE,secondary reference index for cross-table lookup
supp_uuid_01,DATETIME,NONE,status flag indicating current operational state
dept_cat_raw,INTEGER,NONE,secondary reference index for cross-table lookup
order_qty_raw,DATETIME,NONE,secondary reference index for cross-table lookup
inv_amt_norm,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
user_ref_sys,DATETIME,NONE,secondary reference index for cross-table lookup
cust_dt_norm,VARCHAR(255),NONE,descriptive string for human-readable indexing
emp_amt_norm,"DECIMAL(10,2)",NONE,unique identifier for the primary record
addr_amt_pk,INTEGER,PRIMARY,normalized quantitative value for aggregate reporting
order_qty_fk,"DECIMAL(10,2)",FOREIGN,temporal marker for transaction lifecycle
cust_id_raw,INTEGER,NONE,secondary reference index for cross-table lookup
user_qty_v2,INTEGER,NONE,descriptive string for human-readable indexing
order_uuid_raw,DATETIME,NONE,foreign key mapping to parent entity relational graph
addr_id_v2,"DECIMAL(10,2)",NONE,status flag indicating current operational state
order_desc_norm,INTEGER,NONE,foreign key mapping to parent entity relational graph
dept_code_sys,UUID,NONE,foreign key mapping to parent entity relational graph
supp_amt_sys,INTEGER,NONE,temporal marker for transaction lifecycle
sale_dt_raw,UUID,NONE,normalized quantitative value for aggregate reporting
addr_stat_sys,UUID,NONE,secondary reference index for cross-table lookup
addr_ref_pk,DATETIME,PRIMARY,temporal marker for transaction lifecycle
txn_stat_fk,VARCHAR(255),FOREIGN,foreign key mapping to parent entity relational graph
addr_id_fk,"DECIMAL(10,2)",FOREIGN,secondary reference index for cross-table lookup
dept_uuid_fk,INTEGER,FOREIGN,status flag indicating current operational state
addr_uuid_pk,"DECIMAL(10,2)",PRIMARY,normalized quantitative value for aggregate reporting
dept_stat_sys,UUID,NONE,normalized quantitative value for aggregate reporting
cust_dt_norm,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
emp_cat_fk,UUID,FOREIGN,secondary reference index for cross-table lookup
inv_stat_01,DATETIME,NONE,unique identifier for the primary record
prod_name_sys,UUID,NONE,secondary reference index for cross-table lookup
prod_stat_norm,INTEGER,NONE,normalized quantitative value for aggregate reporting
supp_amt_v2,UUID,NONE,status flag indicating current operational state
dept_uuid_fk,INTEGER,FOREIGN,categorical label for domain classification
sale_qty_sys,INTEGER,NONE,descriptive string for human-readable indexing
prod_uuid_v2,INTEGER,NONE,foreign key mapping to parent entity relational graph
order_code_fk,VARCHAR(255),FOREIGN,status flag indicating current operational state
emp_code_v2,VARCHAR(255),NONE,status flag indicating current operational state
sale_cat_fk,INTEGER,FOREIGN,categorical label for domain classification
prod_ref_pk,DATETIME,PRIMARY,unique identifier for the primary record
inv_code_01,VARCHAR(255),NONE,categorical label for domain classification
inv_code_raw,DATETIME,NONE,descriptive string for human-readable indexing
addr_name_norm,UUID,NONE,secondary reference index for cross-table lookup
order_code_fk,INTEGER,FOREIGN,foreign key mapping to parent entity relational graph
emp_name_sys,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
txn_cat_01,"DECIMAL(10,2)",NONE,categorical label for domain classification
inv_uuid_sys,UUID,NONE,temporal marker for transaction lifecycle
cust_cat_norm,"DECIMAL(10,2)",NONE,status flag indicating current operational state
supp_ref_fk,"DECIMAL(10,2)",FOREIGN,normalized quantitative value for aggregate reporting
cust_name_raw,INTEGER,NONE,descriptive string for human-readable indexing
user_stat_v2,VARCHAR(255),NONE,secondary reference index for cross-table lookup
inv_qty_01,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
txn_cat_pk,INTEGER,PRIMARY,foreign key mapping to parent entity relational graph
dept_uuid_raw,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
addr_qty_01,INTEGER,NONE,temporal marker for transaction lifecycle
inv_qty_01,VARCHAR(255),NONE,unique identifier for the primary record
txn_desc_fk,INTEGER,FOREIGN,secondary reference index for cross-table lookup
cust_qty_pk,INTEGER,PRIMARY,temporal marker for transaction lifecycle
inv_cat_raw,DATETIME,NONE,normalized quantitative value for aggregate reporting
user_ref_norm,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
addr_desc_v2,INTEGER,NONE,descriptive string for human-readable indexing
inv_uuid_sys,"DECIMAL(10,2)",NONE,unique identifier for the primary record
user_stat_sys,"DECIMAL(10,2)",NONE,descriptive string for human-readable indexing
order_qty_sys,DATETIME,NONE,temporal marker for transaction lifecycle
sale_stat_raw,DATETIME,NONE,temporal marker for transaction lifecycle
sale_desc_01,INTEGER,NONE,normalized quantitative value for aggregate reporting
prod_cat_sys,DATETIME,NONE,normalized quantitative value for aggregate reporting
addr_desc_sys,UUID,NONE,unique identifier for the primary record
order_stat_v2,"DECIMAL(10,2)",NONE,status flag indicating current operational state
user_stat_norm,INTEGER,NONE,descriptive string for human-readable indexing
emp_desc_norm,UUID,NONE,foreign key mapping to parent entity relational graph
cust_id_pk,VARCHAR(255),PRIMARY,status flag indicating current operational state
sale_ref_v2,DATETIME,NONE,descriptive string for human-readable indexing
inv_cat_norm,INTEGER,NONE,secondary reference index for cross-table lookup
addr_ref_v2,VARCHAR(255),NONE,temporal marker for transaction lifecycle
prod_name_pk,UUID,PRIMARY,categorical label for domain classification
emp_id_01,UUID,NONE,descriptive string for human-readable indexing
txn_dt_norm,UUID,NONE,secondary reference index for cross-table lookup
emp_cat_01,VARCHAR(255),NONE,descriptive string for human-readable indexing
dept_id_v2,UUID,NONE,status flag indicating current operational state
user_desc_norm,DATETIME,NONE,secondary reference index for cross-table lookup
cust_amt_raw,VARCHAR(255),NONE,secondary reference index for cross-table lookup
sale_qty_v2,INTEGER,NONE,normalized quantitative value for aggregate reporting
cust_qty_pk,UUID,PRIMARY,temporal marker for transaction lifecycle
prod_stat_01,INTEGER,NONE,unique identifier for the primary record
order_dt_01,VARCHAR(255),NONE,unique identifier for the primary record
inv_name_fk,INTEGER,FOREIGN,categorical label for domain classification
order_id_fk,INTEGER,FOREIGN,descriptive string for human-readable indexing
user_name_v2,DATETIME,NONE,descriptive string for human-readable indexing
supp_dt_sys,UUID,NONE,foreign key mapping to parent entity relational graph
addr_ref_pk,INTEGER,PRIMARY,descriptive string for human-readable indexing
order_stat_01,UUID,NONE,unique identifier for the primary record
order_qty_v2,VARCHAR(255),NONE,temporal marker for transaction lifecycle
prod_desc_raw,VARCHAR(255),NONE,categorical label for domain classification
txn_code_v2,INTEGER,NONE,descriptive string for human-readable indexing
inv_cat_01,UUID,NONE,foreign key mapping to parent entity relational graph
dept_cat_01,UUID,NONE,temporal marker for transaction lifecycle
user_id_fk,DATETIME,FOREIGN,status flag indicating current operational state
addr_uuid_pk,INTEGER,PRIMARY,categorical label for domain classification
txn_amt_pk,DATETIME,PRIMARY,status flag indicating current operational state
cust_code_v2,VARCHAR(255),NONE,secondary reference index for cross-table lookup
supp_qty_fk,DATETIME,FOREIGN,foreign key mapping to parent entity relational graph
user_cat_pk,"DECIMAL(10,2)",PRIMARY,categorical label for domain classification
sale_desc_raw,INTEGER,NONE,secondary reference index for cross-table lookup
sale_name_raw,DATETIME,NONE,secondary reference index for cross-table lookup
emp_uuid_fk,DATETIME,FOREIGN,foreign key mapping to parent entity relational graph
supp_amt_fk,VARCHAR(255),FOREIGN,temporal marker for transaction lifecycle
prod_stat_01,DATETIME,NONE,categorical label for domain classification
order_uuid_raw,VARCHAR(255),NONE,foreign key mapping to parent entity relational graph
user_dt_v2,"DECIMAL(10,2)",NONE,status flag indicating current operational state
order_code_01,DATETIME,NONE,temporal marker for transaction lifecycle
txn_amt_v2,INTEGER,NONE,temporal marker for transaction lifecycle
user_cat_raw,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
sale_code_v2,"DECIMAL(10,2)",NONE,foreign key mapping to parent entity relational graph
emp_id_pk,"DECIMAL(10,2)",PRIMARY,temporal marker for transaction lifecycle
order_amt_pk,VARCHAR(255),PRIMARY,categorical label for domain classification
sale_dt_v2,UUID,NONE,foreign key mapping to parent entity relational graph
inv_name_norm,DATETIME,NONE,unique identifier for the primary record
emp_dt_norm,VARCHAR(255),NONE,descriptive string for human-readable indexing
supp_name_fk,"DECIMAL(10,2)",FOREIGN,categorical label for domain classification
supp_ref_raw,VARCHAR(255),NONE,status flag indicating current operational state
inv_cat_v2,"DECIMAL(10,2)",NONE,normalized quantitative value for aggregate reporting
txn_amt_raw,"DECIMAL(10,2)",NONE,unique identifier for the primary record
inv_name_pk,DATETIME,PRIMARY,foreign key mapping to parent entity relational graph
supp_stat_raw,INTEGER,NONE,categorical label for domain classification
supp_cat_v2,UUID,NONE,unique identifier for the primary record
user_ref_raw,DATETIME,NONE,normalized quantitative value for aggregate reporting
prod_cat_raw,VARCHAR(255),NONE,temporal marker for transaction lifecycle
cust_name_v2,VARCHAR(255),NONE,unique identifier for the primary record
prod_desc_pk,UUID,PRIMARY,temporal marker for transaction lifecycle
supp_cat_raw,VARCHAR(255),NONE,categorical label for domain classification
cust_id_v2,VARCHAR(255),NONE,categorical label for domain classification
emp_ref_sys,INTEGER,NONE,normalized quantitative value for aggregate reporting
emp_cat_sys,INTEGER,NONE,foreign key mapping to parent entity relational graph
order_cat_01,"DECIMAL(10,2)",NONE,unique identifier for the primary record
cust_id_v2,DATETIME,NONE,foreign key mapping to parent entity relational graph
inv_id_pk,DATETIME,PRIMARY,categorical label for domain classification
cust_qty_fk,VARCHAR(255),FOREIGN,descriptive string for human-readable indexing
cust_desc_fk,"DECIMAL(10,2)",FOREIGN,temporal marker for transaction lifecycle
cust_desc_pk,UUID,PRIMARY,secondary reference index for cross-table lookup
txn_code_sys,UUID,NONE,normalized quantitative value for aggregate reporting
prod_name_norm,UUID,NONE,unique identifier for the primary record
prod_uuid_v2,VARCHAR(255),NONE,categorical label for domain classification
txn_cat_pk,"DECIMAL(10,2)",PRIMARY,unique identifier for the primary record
txn_ref_pk,VARCHAR(255),PRIMARY,status flag indicating current operational state
sale_dt_pk,VARCHAR(255),PRIMARY,normalized quantitative value for aggregate reporting
prod_name_raw,INTEGER,NONE,foreign key mapping to parent entity relational graph
order_dt_pk,VARCHAR(255),PRIMARY,temporal marker for transaction lifecycle
user_uuid_01,DATETIME,NONE,normalized quantitative value for aggregate reporting
emp_code_01,"DECIMAL(10,2)",NONE,unique identifier for the primary record
inv_ref_sys,VARCHAR(255),NONE,status flag indicating current operational state
sale_code_pk,"DECIMAL(10,2)",PRIMARY,secondary reference index for cross-table lookup
inv_stat_norm,"DECIMAL(10,2)",NONE,temporal marker for transaction lifecycle
addr_dt_01,"DECIMAL(10,2)",NONE,unique identifier for the primary record
dept_name_raw,UUID,NONE,unique identifier for the primary record
inv_qty_raw,VARCHAR(255),NONE,status flag indicating current operational state
user_stat_01,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
supp_code_fk,VARCHAR(255),FOREIGN,status flag indicating current operational state
supp_ref_raw,DATETIME,NONE,unique identifier for the primary record
txn_qty_v2,UUID,NONE,secondary reference index for cross-table lookup
order_name_norm,VARCHAR(255),NONE,normalized quantitative value for aggregate reporting
cust_qty_pk,DATETIME,PRIMARY,unique identifier for the primary record
emp_code_01,UUID,NONE,normalized quantitative value for aggregate reporting
order_qty_01,"DECIMAL(10,2)",NONE,status flag indicating current operational state
supp_dt_norm,INTEGER,NONE,categorical label for domain classification
dept_name_sys,INTEGER,NONE,unique identifier for the primary record
sale_qty_fk,"DECIMAL(10,2)",FOREIGN,temporal marker for transaction lifecycle
inv_amt_pk,DATETIME,PRIMARY,descriptive string for human-readable indexing
order_uuid_sys,VARCHAR(255),NONE,descriptive string for human-readable indexing
